author,polarity
freepublicitygr,-0.1
ijhayabnoy03,-0.8
PerryLion16,-0.25
MichealAnthrbne,0
3lmerworld,0
DonnaDent1,-1
permanentfold,0.071875
atzswrld,0
codkiller678,0
VLONE50225255,0
boyssees,-0.1
TotalSnore,0.00E+00
ruthdzissah,0
GuilleBazzola,0
k_jua_B,0
prayfckgrow,0
thejcmcsquirter,0.5
asliomur,-0.1166666667
J_Olanma305,0
canuck33,-0.3
Anais_Frenchy,-0.183125
wa111ace,0
JR821214,0
winterXall,0
JustChillinFR,0
kasone13,0
stunningselmg,0.0390625
brown_lew73935,0.91
KirstyChallen,0
1Georden,-0.1416666667
selvibess,-0.1
Mog_the_Moogle_,0
Levvo2Live,0
kukluxkant,-0.19375
PaladinCass,0
jazlyn_jin,-1
outlookedsaint,0
BurnsideNotTosh,-0.2
TheFaithh,0
AcesNear,0
Lara_Flyingminx,-0.5
stuhrosa,-0.4
AlexxaKrystal12,0
jadajordan75,0.1722222222
rudbergrry,0
Micahissad,0.3333333333
PatronJames6,-0.25
brian13bh8,0
_kmc1959,0
creamgabe,0
ChristianFleit6,-0.7
inamood,-0.7
PopstheLEGEND,0
northernorchid,-0.6171875
FromPetersburg2,0.1428571429
RandyZ326,0.3866071429
WavyDonDada,0
MarquelK,0
markthezebra,0
SaveStAlbansftf,-0.06666666667
JackyGee10,0
motiblackart,0
02031961pat,0.5
crawlinbacctoU,0
SyresSmith,0
Itzme_j3,0
Marhvell_,0
ororosfire,0.03333333333
salxluv,-0.2428571429
rainbowsublime,-0.08333333333
VpnDhabi,0
looser_losser,0.1615079365
__Aviwe,0.575
MaggieTudor33,0
pvtalterjas,-0.1166666667
peter_j_boyle,0
Mhyrtea,0
AmareAliAmias,0
HIGHOFFSELENUR,-0.2083333333
balogunoluwasey,0
